product_id,product_name,category,price,stock,supplier
P001,Laptop,Electronics,5999.99,50,Lenovo
P002,Smartphone,Electronics,3999.00,100,Huawei
P003,Tablet,Electronics,2999.50,30,Apple
P004,Office Chair,Furniture,899.00,80,IKEA
P005,Desk,Furniture,1200.00,40,IKEA
P006,Desk Lamp,Home Goods,199.99,150,Xiaomi
P007,Coffee Maker,Kitchen Appliance,899.00,25,Delonghi
P008,Microwave,Kitchen Appliance,599.00,60,Midea
P009,Washing Machine,Home Appliance,2599.00,35,Haier
P010,Refrigerator,Home Appliance,3899.00,20,Gree
